order_id,customer_id,sku_id,qty,priority_tier,ship_by_date,status,data_provenance
ORD-3000,DIST-005,YGC-PER-0013,250,C,2026-07-12,open,synthetic
ORD-3001,DIST-001,YGC-HOM-0029,99,A,2026-07-11,open,synthetic
ORD-3002,MT-006,YGC-BEV-0073,447,A,2026-07-13,open,synthetic
ORD-3003,DIST-003,YGC-PER-0005,166,B,2026-07-11,partial,synthetic
ORD-3004,DIST-005,YGC-HOM-0038,349,C,2026-07-12,partial,synthetic
ORD-3005,DIST-003,YGC-STA-0108,184,B,2026-07-10,partial,synthetic
ORD-3006,DIST-001,YGC-FOO-0051,246,A,2026-07-14,partial,synthetic
ORD-3007,MT-006,YGC-HOM-0027,420,A,2026-07-12,partial,synthetic
ORD-3008,QC-007,YGC-HOM-0040,456,A,2026-07-09,open,synthetic
ORD-3009,QC-007,YGC-STA-0106,252,A,2026-07-06,open,synthetic
ORD-3010,DIST-005,YGC-FOO-0069,169,C,2026-07-13,partial,synthetic
ORD-3011,QC-007,YGC-HEA-0110,181,A,2026-07-12,partial,synthetic
ORD-3012,DIST-001,YGC-FOO-0045,422,A,2026-07-13,open,synthetic
ORD-3013,DIST-002,YGC-PER-0019,201,A,2026-07-05,partial,synthetic
ORD-3014,DIST-004,YGC-BEV-0092,454,B,2026-07-11,open,synthetic
ORD-3015,DIST-001,YGC-STA-0104,375,A,2026-07-05,open,synthetic
ORD-3016,DIST-002,YGC-HEA-0111,360,A,2026-07-08,partial,synthetic
ORD-3017,DIST-001,YGC-HOM-0034,291,A,2026-07-10,open,synthetic
ORD-3018,QC-007,YGC-STA-0095,366,A,2026-07-05,open,synthetic
ORD-3019,DIST-003,YGC-PER-0004,173,B,2026-07-09,open,synthetic
ORD-3020,DIST-004,YGC-BEV-0073,204,B,2026-07-13,open,synthetic
ORD-3021,DIST-005,YGC-BAB-0122,188,C,2026-07-08,partial,synthetic
ORD-3022,DIST-003,YGC-FOO-0048,255,B,2026-07-13,open,synthetic
ORD-3023,DIST-004,YGC-FOO-0055,360,B,2026-07-12,open,synthetic
ORD-3024,DIST-004,YGC-FOO-0048,177,B,2026-07-14,open,synthetic
ORD-3025,MT-006,YGC-STA-0107,350,A,2026-07-06,partial,synthetic
ORD-3026,DIST-004,YGC-FOO-0056,432,B,2026-07-10,open,synthetic
ORD-3027,MT-006,YGC-BEV-0091,444,A,2026-07-11,partial,synthetic
ORD-3028,DIST-004,YGC-BEV-0087,91,B,2026-07-06,open,synthetic
ORD-3029,DIST-004,YGC-HEA-0113,433,B,2026-07-09,open,synthetic
ORD-3030,DIST-004,YGC-FOO-0058,162,B,2026-07-10,open,synthetic
ORD-3031,DIST-001,YGC-HOM-0036,477,A,2026-07-10,open,synthetic
ORD-3032,MT-006,YGC-PER-0012,325,A,2026-07-08,open,synthetic
ORD-3033,DIST-005,YGC-HEA-0110,155,C,2026-07-08,open,synthetic
ORD-3034,DIST-005,YGC-BEV-0085,67,C,2026-07-12,open,synthetic
ORD-3035,DIST-003,YGC-FOO-0058,418,B,2026-07-08,open,synthetic
ORD-3036,DIST-003,YGC-FOO-0066,260,B,2026-07-08,open,synthetic
ORD-3037,QC-007,YGC-FOO-0048,265,A,2026-07-10,partial,synthetic
ORD-3038,QC-007,YGC-BEV-0090,471,A,2026-07-12,open,synthetic
ORD-3039,DIST-001,YGC-HOM-0039,172,A,2026-07-05,open,synthetic
ORD-3040,DIST-002,YGC-PER-0011,66,A,2026-07-10,open,synthetic
ORD-3041,DIST-001,YGC-HOM-0030,124,A,2026-07-10,open,synthetic
ORD-3042,MT-006,YGC-BEV-0092,288,A,2026-07-10,open,synthetic
ORD-3043,DIST-003,YGC-PER-0009,31,B,2026-07-12,partial,synthetic
ORD-3044,MT-006,YGC-FOO-0062,128,A,2026-07-10,partial,synthetic
ORD-3045,QC-007,YGC-ORA-0116,340,A,2026-07-07,partial,synthetic
ORD-3046,DIST-004,YGC-HOM-0041,215,B,2026-07-08,partial,synthetic
ORD-3047,QC-007,YGC-HOM-0042,111,A,2026-07-05,open,synthetic
ORD-3048,DIST-003,YGC-BEV-0084,485,B,2026-07-12,partial,synthetic
ORD-3049,DIST-005,YGC-PER-0003,413,C,2026-07-10,open,synthetic
ORD-3050,DIST-002,YGC-HEA-0114,242,A,2026-07-11,open,synthetic
ORD-3051,MT-006,YGC-STA-0097,435,A,2026-07-08,open,synthetic
ORD-3052,MT-006,YGC-HOM-0043,417,A,2026-07-12,open,synthetic
ORD-3053,DIST-003,YGC-BEV-0079,154,B,2026-07-10,open,synthetic
ORD-3054,DIST-001,YGC-HOM-0023,435,A,2026-07-13,partial,synthetic
ORD-3055,QC-007,YGC-PER-0020,292,A,2026-07-13,open,synthetic
ORD-3056,DIST-004,YGC-STA-0096,130,B,2026-07-11,open,synthetic
ORD-3057,QC-007,YGC-FOO-0050,399,A,2026-07-09,open,synthetic
ORD-3058,DIST-003,YGC-FOO-0062,269,B,2026-07-07,open,synthetic
ORD-3059,DIST-005,YGC-BEV-0075,30,C,2026-07-06,partial,synthetic
