sku_id,week_start,channel,qty,data_provenance
YGM-CAP-0001,2024-07-06,hospital,0.8,synthetic
YGM-CAP-0001,2024-07-13,hospital,0.79,synthetic
YGM-CAP-0001,2024-07-20,hospital,0.68,synthetic
YGM-CAP-0001,2024-07-27,hospital,1.94,synthetic
YGM-CAP-0001,2024-08-03,hospital,2.2,synthetic
YGM-CAP-0001,2024-08-10,hospital,1.73,synthetic
YGM-CAP-0001,2024-08-17,hospital,2.2,synthetic
YGM-CAP-0001,2024-08-24,hospital,1.47,synthetic
YGM-CAP-0001,2024-08-31,hospital,1.76,synthetic
YGM-CAP-0001,2024-09-07,hospital,2.28,synthetic
YGM-CAP-0001,2024-09-14,hospital,1.63,synthetic
YGM-CAP-0001,2024-09-21,hospital,1.47,synthetic
YGM-CAP-0001,2024-09-28,hospital,1.11,synthetic
YGM-CAP-0001,2024-10-05,hospital,1.07,synthetic
YGM-CAP-0001,2024-10-12,hospital,1.4,synthetic
YGM-CAP-0001,2024-10-19,hospital,1.46,synthetic
YGM-CAP-0001,2024-10-26,hospital,1.68,synthetic
YGM-CAP-0001,2024-11-02,hospital,1.91,synthetic
YGM-CAP-0001,2024-11-09,hospital,1.18,synthetic
YGM-CAP-0001,2024-11-16,hospital,1.31,synthetic
YGM-CAP-0001,2024-11-23,hospital,1.19,synthetic
YGM-CAP-0001,2024-11-30,hospital,1.46,synthetic
YGM-CAP-0001,2024-12-07,hospital,1.61,synthetic
YGM-CAP-0001,2024-12-14,hospital,1.58,synthetic
YGM-CAP-0001,2024-12-21,hospital,1.24,synthetic
YGM-CAP-0001,2024-12-28,hospital,0.88,synthetic
YGM-CAP-0001,2025-01-04,hospital,0.99,synthetic
YGM-CAP-0001,2025-01-11,hospital,1.12,synthetic
YGM-CAP-0001,2025-01-18,hospital,1.3,synthetic
YGM-CAP-0001,2025-01-25,hospital,1.01,synthetic
YGM-CAP-0001,2025-02-01,hospital,1.27,synthetic
YGM-CAP-0001,2025-02-08,hospital,1.2,synthetic
YGM-CAP-0001,2025-02-15,hospital,0.95,synthetic
YGM-CAP-0001,2025-02-22,hospital,2.86,synthetic
YGM-CAP-0001,2025-03-01,hospital,2.7,synthetic
YGM-CAP-0001,2025-03-08,hospital,2.17,synthetic
YGM-CAP-0001,2025-03-15,hospital,1.95,synthetic
YGM-CAP-0001,2025-03-22,hospital,6.53,synthetic
