sku_id,lot_id,mfg_date,expiry_date,qty,node_id,data_provenance
YGM-IMP-0017,LOT-000001,2026-05-21,,28,WH-DEL,synthetic
YGM-IMP-0017,LOT-000002,2026-05-07,,155,WH-DEL,synthetic
YGM-IMP-0017,LOT-000003,2025-11-25,,225,DC-MUM,synthetic
YGM-IMP-0018,LOT-000004,2025-09-06,,215,SVC-CHN,synthetic
YGM-IMP-0018,LOT-000005,2025-06-20,,410,DC-MUM,synthetic
YGM-IMP-0019,LOT-000006,2026-03-07,,45,SVC-CHN,synthetic
YGM-IMP-0019,LOT-000007,2025-11-21,,322,DC-MUM,synthetic
YGM-IMP-0020,LOT-000008,2025-08-10,,78,DC-MUM,synthetic
YGM-IMP-0020,LOT-000009,2025-10-11,,331,WH-DEL,synthetic
YGM-IMP-0020,LOT-000010,2025-10-12,,135,PLT-PUNE,synthetic
YGM-IMP-0020,LOT-000011,2025-10-09,,466,WH-DEL,synthetic
YGM-IMP-0021,LOT-000012,2026-04-28,,231,WH-DEL,synthetic
YGM-IMP-0021,LOT-000013,2025-08-08,,158,WH-BLR,synthetic
YGM-IMP-0022,LOT-000014,2025-10-14,,437,WH-DEL,synthetic
YGM-IMP-0022,LOT-000015,2026-02-23,,201,WH-BLR,synthetic
YGM-IMP-0022,LOT-000016,2026-04-11,,126,WH-BLR,synthetic
YGM-IMP-0023,LOT-000017,2025-08-14,,156,WH-DEL,synthetic
YGM-IMP-0023,LOT-000018,2026-05-24,,429,WH-BLR,synthetic
YGM-IMP-0023,LOT-000019,2026-01-15,,9,SVC-CHN,synthetic
YGM-IMP-0024,LOT-000020,2025-07-29,,386,WH-BLR,synthetic
YGM-IMP-0025,LOT-000021,2026-02-07,,315,WH-DEL,synthetic
YGM-IMP-0025,LOT-000022,2026-02-12,,330,DC-MUM,synthetic
YGM-IMP-0025,LOT-000023,2025-07-22,,133,DC-MUM,synthetic
YGM-IMP-0026,LOT-000024,2025-07-18,,335,PLT-PUNE,synthetic
YGM-IMP-0027,LOT-000025,2025-10-22,,22,SVC-CHN,synthetic
YGM-IMP-0027,LOT-000026,2025-11-30,,379,DC-MUM,synthetic
YGM-IMP-0027,LOT-000027,2026-04-19,,470,WH-DEL,synthetic
YGM-IMP-0028,LOT-000028,2025-11-04,,94,DC-MUM,synthetic
YGM-IMP-0028,LOT-000029,2026-03-29,,407,SVC-CHN,synthetic
YGM-IMP-0028,LOT-000030,2025-11-29,,276,SVC-CHN,synthetic
YGM-IMP-0029,LOT-000031,2026-03-12,,136,WH-BLR,synthetic
YGM-IMP-0029,LOT-000032,2026-01-04,,387,WH-DEL,synthetic
YGM-IMP-0029,LOT-000033,2026-04-07,,244,PLT-PUNE,synthetic
YGM-IMP-0030,LOT-000034,2026-02-09,,445,WH-BLR,synthetic
YGM-IMP-0030,LOT-000035,2025-08-23,,192,PLT-PUNE,synthetic
YGM-IMP-0031,LOT-000036,2026-05-28,,140,SVC-CHN,synthetic
YGM-IMP-0031,LOT-000037,2026-04-02,,237,WH-DEL,synthetic
YGM-IMP-0031,LOT-000038,2025-06-25,,388,WH-DEL,synthetic
YGM-IMP-0031,LOT-000039,2025-08-09,,200,WH-DEL,synthetic
YGM-IMP-0032,LOT-000040,2025-06-24,,124,WH-BLR,synthetic
YGM-IMP-0033,LOT-000041,2025-07-22,,457,SVC-CHN,synthetic
YGM-IMP-0034,LOT-000042,2025-07-27,,118,PLT-PUNE,synthetic
YGM-IMP-0034,LOT-000043,2025-07-14,,426,WH-BLR,synthetic
YGM-IMP-0034,LOT-000044,2025-06-11,,159,WH-BLR,synthetic
YGM-IMP-0035,LOT-000045,2026-03-25,,28,PLT-PUNE,synthetic
YGM-IMP-0036,LOT-000046,2025-09-25,,64,PLT-PUNE,synthetic
YGM-IMP-0036,LOT-000047,2026-02-04,,459,SVC-CHN,synthetic
YGM-IMP-0036,LOT-000048,2026-03-27,,203,WH-BLR,synthetic
YGM-IMP-0037,LOT-000049,2025-06-26,,491,SVC-CHN,synthetic
YGM-IMP-0037,LOT-000050,2025-11-02,,305,DC-MUM,synthetic
YGM-IMP-0037,LOT-000051,2025-11-04,,340,PLT-PUNE,synthetic
YGM-IMP-0038,LOT-000052,2025-07-24,,213,WH-DEL,synthetic
YGM-IMP-0038,LOT-000053,2026-05-19,,358,WH-DEL,synthetic
YGM-IMP-0038,LOT-000054,2026-02-13,,232,WH-BLR,synthetic
YGM-IMP-0038,LOT-000055,2026-02-04,,442,WH-DEL,synthetic
YGM-IMP-0039,LOT-000056,2025-06-18,,193,SVC-CHN,synthetic
YGM-IMP-0040,LOT-000057,2026-05-04,,208,WH-DEL,synthetic
YGM-IMP-0040,LOT-000058,2026-02-27,,500,PLT-PUNE,synthetic
YGM-IMP-0040,LOT-000059,2025-10-15,,51,DC-MUM,synthetic
YGM-IMP-0041,LOT-000060,2026-05-10,,407,WH-DEL,synthetic
