shipment_id,vehicle_number,origin_node_id,dest_pincode,vehicle_type,fill_rate_pct,status,dispatch_date,eway_bill_number,data_provenance
SHP-2000,MH-74-AX-8973,DC-MUM,700091,14ft,0.78,in_transit,2026-07-02,,synthetic
SHP-2001,MH-96-XS-1223,DC-MUM,600032,32ft,0.82,in_transit,2026-07-04,,synthetic
SHP-2002,MH-44-FQ-2125,SVC-CHN,700091,407,0.72,delivered,2026-07-03,,synthetic
SHP-2003,MH-72-FC-1430,WH-DEL,560100,32ft,0.54,delivered,2026-07-04,,synthetic
SHP-2004,MH-57-SC-6731,PLT-PUNE,700091,14ft,0.9,delivered,2026-07-02,,synthetic
SHP-2005,MH-21-RJ-6853,WH-DEL,110020,407,0.53,in_transit,2026-07-02,,synthetic
SHP-2006,MH-50-EE-2573,DC-MUM,500032,32ft,0.55,delivered,2026-07-03,,synthetic
SHP-2007,MH-77-PU-3811,WH-DEL,700091,14ft,0.78,planned,2026-07-03,,synthetic
SHP-2008,MH-92-OF-7290,SVC-CHN,411057,20ft,0.84,in_transit,2026-06-29,,synthetic
SHP-2009,MH-14-JU-6498,WH-DEL,400079,14ft,0.71,delivered,2026-07-03,,synthetic
SHP-2010,MH-56-YM-3247,PLT-PUNE,110020,20ft,0.56,in_transit,2026-07-04,,synthetic
SHP-2011,MH-18-HA-1249,DC-MUM,110020,14ft,0.51,planned,2026-07-02,,synthetic
SHP-2012,MH-49-FC-5620,WH-BLR,110020,407,0.68,loaded,2026-06-30,,synthetic
SHP-2013,MH-57-KV-3262,PLT-PUNE,700091,407,0.9,loaded,2026-07-04,,synthetic
SHP-2014,MH-16-XJ-8641,DC-MUM,560100,407,0.76,delivered,2026-06-30,,synthetic
SHP-2015,MH-76-OW-4011,SVC-CHN,500032,407,0.65,in_transit,2026-06-29,,synthetic
SHP-2016,MH-18-GL-1252,WH-DEL,411057,32ft,0.8,delivered,2026-06-30,,synthetic
SHP-2017,MH-67-FW-8327,SVC-CHN,560100,407,0.55,delivered,2026-06-30,,synthetic
SHP-2018,MH-66-DD-5631,PLT-PUNE,411057,32ft,0.61,delivered,2026-06-29,,synthetic
SHP-2019,MH-15-DC-3359,DC-MUM,400079,14ft,0.86,delivered,2026-06-29,,synthetic
SHP-2020,MH-26-WL-4660,WH-DEL,400079,20ft,0.77,loaded,2026-07-03,,synthetic
SHP-2021,MH-48-HG-2830,SVC-CHN,411057,14ft,0.9,delivered,2026-07-01,,synthetic
SHP-2022,MH-89-VP-6036,WH-BLR,500032,407,0.91,in_transit,2026-06-30,,synthetic
SHP-2023,MH-72-DD-9635,WH-BLR,411057,14ft,0.9,in_transit,2026-07-04,,synthetic
